"system","broodYr","spawn","rec","rps"
"Igushik",1963,92184,368205.122066703,3.99424110547061
"Igushik",1964,128532,583059.500180181,4.5362983551192
"Igushik",1965,180840,810919.527577424,4.48418230246308
"Igushik",1966,206360,301093.430575705,1.45906876611604
"Igushik",1967,281772,125744.849381645,0.446264530832179
"Igushik",1968,194508,158922.719262924,0.817049783365845
"Igushik",1969,512328,476722.22685709,0.930501996488753
"Igushik",1970,370920,287435.695091682,0.77492638599073
"Igushik",1971,210960,259415.093327239,1.22968853492245
"Igushik",1972,60018,232049.467502464,3.86633122567336
"Igushik",1973,59508,451999.766575413,7.59561347340547
"Igushik",1974,358752,1267129.88809994,3.5320496836253
"Igushik",1975,241086,2810903.3498592,11.6593387830865
"Igushik",1976,186120,1354666.65250916,7.27845826622156
"Igushik",1977,95970,830426.157793119,8.65297653217797
"Igushik",1978,536154,562274.921633802,1.04871906510779
"Igushik",1979,859560,896475.79562251,1.04294731679291
"Igushik",1980,1987530,443803.166703739,0.223293820321574
"Igushik",1981,591144,838645.24558437,1.41868181963171
"Igushik",1982,423768,346608.038627578,0.817919329981448
"Igushik",1983,180438,391104.402289343,2.16752791700941
"Igushik",1984,184872,522953.388363787,2.8287322491442
"Igushik",1985,212454,1138950.75445401,5.36092873965192
"Igushik",1986,307728,1700596.58768832,5.52629785943536
"Igushik",1987,169236,445514.670168539,2.63250531901332
"Igushik",1988,170454,614897.817730306,3.6074120744031
"Igushik",1989,461610,991783.682547156,2.14853162311725
"Igushik",1990,365802,1229497.5528373,3.3611012319159
"Igushik",1991,756126,983938.792614967,1.30128945786148
"Igushik",1992,304920,139561.23869275,0.457697883683425
"Igushik",1993,405564,358174.418815424,0.883151410912764
"Igushik",1994,445920,659952.734045033,1.47998011761086
"Igushik",1995,473382,1278256.1538545,2.70026353738523
"Igushik",1996,400746,886426.23681278,2.21194032332894
"Igushik",1997,127704,99344.9429939688,0.77793133334875
"Igushik",1998,215904,536354.078528615,2.48422483385493
"Igushik",1999,445536,362488.206246825,0.813600261812344
"Igushik",2000,413316,767785.196188205,1.85762272979562
"Igushik",2001,409596,490103.450737403,1.19655331286781
"Igushik",2002,123156,495200.712113415,4.02092234331592
"Igushik",2003,194088,2087758.66921549,10.756763268288
