Year,Mon,NPGO,PDO
1950,Jan,-2.19,-2.13
1950,Feb,-1.45,-2.91
1950,Mar,-0.97,-1.13
1950,Apr,-0.86,-1.2
1950,May,-0.63,-2.23
1950,Jun,-0.58,-1.77
1950,Jul,-0.74,-2.93
1950,Aug,-0.55,-0.7
1950,Sep,-0.6,-2.14
1950,Oct,0.12,-1.36
1950,Nov,-0.26,-2.46
1950,Dec,-0.49,-0.76
1951,Jan,-0.48,-1.54
1951,Feb,-0.41,-1.06
1951,Mar,-0.57,-1.9
1951,Apr,-0.56,-0.36
1951,May,-1.07,-0.25
1951,Jun,-1.44,-1.09
1951,Jul,-1.1,0.7
1951,Aug,-1.17,-1.37
1951,Sep,-1.42,-0.08
1951,Oct,-1.07,-0.32
1951,Nov,-1.01,-0.28
1951,Dec,-1.22,-1.68
1952,Jan,-1.34,-2.01
1952,Feb,-1.09,-0.46
1952,Mar,-0.67,-0.63
1952,Apr,-0.43,-1.05
1952,May,-0.63,-1
1952,Jun,-0.97,-1.43
1952,Jul,-1.34,-1.25
1952,Aug,-0.9,-0.6
1952,Sep,-0.58,-0.89
1952,Oct,-0.26,-0.35
1952,Nov,-0.32,-0.76
1952,Dec,0.85,0.04
1953,Jan,0.94,-0.57
1953,Feb,0.75,-0.07
1953,Mar,1.22,-1.12
1953,Apr,1.25,0.05
1953,May,1.27,0.43
1953,Jun,1.06,0.29
1953,Jul,1.04,0.74
1953,Aug,0.62,0.05
1953,Sep,0.29,-0.63
1953,Oct,1.08,-1.09
1953,Nov,2.05,-0.03
1953,Dec,1.42,0.07
1954,Jan,1.09,-1.32
1954,Feb,1.16,-1.61
1954,Mar,0.08,-0.52
1954,Apr,-0.37,-1.33
1954,May,-0.16,0.01
1954,Jun,0.18,0.97
1954,Jul,-0.04,0.43
1954,Aug,-0.13,0.08
1954,Sep,-0.26,-0.94
1954,Oct,0.18,0.52
1954,Nov,0.35,0.72
1954,Dec,0.4,-0.5
1955,Jan,0.33,0.2
1955,Feb,-0.25,-1.52
1955,Mar,-0.22,-1.26
1955,Apr,0.04,-1.97
1955,May,0.26,-1.21
1955,Jun,-0.02,-2.44
1955,Jul,-0.09,-2.35
1955,Aug,0.27,-2.25
1955,Sep,-0.11,-1.95
1955,Oct,-0.52,-2.8
