Year,Month,Day,Location,Site,Class,Weight,Length 
2020,10,22,Nome,East Beach,Green,22,41
2020,10,22,Nome,East Beach,Green,32,55
2020,10,22,Nome,East Beach,Green,11,31
2020,10,22,Nome,East Beach,Green,4,24
2020,10,22,Nome,East Beach,Green,5,21
2020,10,22,Nome,East Beach,Green,8,31
2020,10,22,Nome,East Beach,Green,5,32
2020,10,22,Nome,East Beach,Green,9,26
2020,10,22,Nome,East Beach,Green,6,24
2020,10,22,Nome,East Beach,Green,5,27
2020,10,22,Nome,East Beach,Green,5,26
2020,10,22,Nome,East Beach,Green,3,20
2020,10,22,Nome,East Beach,Green,4,29
2020,10,22,Nome,East Beach,Green,2,29
2020,10,22,Nome,East Beach,Green,3,21
2020,10,22,Nome,East Beach,Green,2,16
2020,10,22,Nome,East Beach,Green,3,25
2020,10,22,Nome,East Beach,Green,2,19
2020,10,22,Nome,East Beach,Green,2,25
2020,10,22,Nome,East Beach,Green,1,14
2020,10,22,Nome,East Beach,Brown,13,41
2020,10,22,Nome,East Beach,Brown,8,32
2020,10,22,Nome,East Beach,Brown,10,41
2020,10,22,Nome,East Beach,Brown,8,44
2020,10,22,Nome,East Beach,Brown,8,46
2020,10,22,Nome,East Beach,Brown,6,28
2020,10,22,Nome,East Beach,Brown,5,28
2020,10,22,Nome,East Beach,Brown,6,35
2020,10,22,Nome,East Beach,Brown,4,27
2020,10,22,Nome,East Beach,Brown,4,28
2020,10,22,Nome,East Beach,Brown,5,28
2020,10,22,Nome,East Beach,Brown,4,22
2020,10,22,Nome,East Beach,Brown,2,24
2020,10,22,Nome,East Beach,Brown,1,19
2020,10,22,Nome,East Beach,Brown,5,27
2020,10,22,Nome,East Beach,Brown,4,28
2020,10,22,Nome,East Beach,Brown,5,27
2020,10,22,Nome,East Beach,Brown,3,28
2020,10,22,Nome,East Beach,Brown,4,25
2020,10,22,Nome,East Beach,Brown,2,19
