year,cpue
1956,10.541508
1957,9.268730777
1958,10.99338187
1959,9.797326136
1960,8.279887608
1961,6.448618924
1962,4.684850996
1963,4.039658794
1964,3.492984485
1965,2.985254574
1966,2.918830833
1967,3.341577323
1968,3.279761044
1969,2.852185306
1970,2.551246256
1971,2.007601143
1972,1.736880075
1973,2.3229653
1974,1.958772308
1975,1.621430054
1976,1.357700409
1977,2.166250202
1978,1.883306624
1979,1.76024791
1980,1.83106121
1981,1.74178915
1982,1.744161656
1983,1.639565246
1984,1.694865645
1985,1.7662366
1986,1.952600238
1987,2.164377823
1988,1.969702653
1989,1.73909947
1990,1.476132114
1991,1.465398136
1992,1.385331705
1993,1.342259377
1994,1.285816891
1995,1.278153746
1996,1.127538563
1997,1.009725549
1998,1.045164949
1999,1.139089437
